origin,destination,count,delay
DFW,MSY,2633,925
JFK,FLL,4439,1703
RSW,LGA,765,363
LAX,BOI,675,307
BUR,DEN,1245,414
BWI,CLT,3375,1405
DAL,HOU,6262,2808
PDX,MCI,333,59
STL,ORD,2785,993
BOS,SFO,3889,1554
BOS,LAS,1026,485
SFO,JFK,8440,2701
ATL,MSP,4713,1600
DTW,MKE,1730,496
DTW,TPA,2133,700
LAX,EGE,111,28
MCO,DTW,2634,885
DFW,BTR,2335,1076
RIC,MSP,328,158
LGA,ORD,9639,3154
TUS,SLC,940,197
LBB,DEN,618,238
RDU,IAH,512,188
SBA,LAX,1460,552
DEN,DAL,1480,577
GEG,PHX,922,241
JFK,STT,548,169
CMI,ORD,1784,495
LAX,ELP,915,468
SFO,CEC,190,61
MCO,FLL,668,283
SFO,SBP,1043,331
SFO,SBA,2098,674
MEM,DEN,758,309
DEN,MSY,1552,638
DFW,SAN,3297,1240
SFO,SLC,3249,1296
PIT,DEN,1009,287
SJC,DEN,2102,651
SMF,LAS,2513,969
RNO,ORD,376,133
SEA,FLL,334,133
JFK,AUS,1588,582
ATL,TPA,7076,2627
DFW,JAX,1254,422
BHM,IAH,1590,644
MSO,DEN,567,206
SFO,ASE,202,113
DTW,LAN,441,138
DEN,CLE,1369,440
SMF,SFO,1624,762
SEA,PHL,990,363
ORD,SRQ,319,102
MCO,EWR,4790,1780
PHX,SLC,5485,1792
PHL,DEN,2142,721
PHX,PDX,3102,1113
PHX,SAN,5105,2131
DFW,COS,1081,351
DTW,DFW,2646,954
SEA,SAN,3189,1283
SEA,DTW,1892,699
MSN,DTW,1375,381
CHS,ATL,3197,621
SLC,MSP,1854,512
DTW,ATL,4857,1596
ORD,OKC,1841,794
MSP,IAD,591,192
BNA,DTW,2047,722
ORD,DLH,1102,428
MLI,DEN,187,63
IAH,SDF,726,328
CLT,MDW,636,167
DAL,ELP,1282,572
DCA,TPA,2686,911
SDF,PHX,332,54
PHX,OGG,556,252
SNA,DFW,2877,952
ATL,BOS,4685,1574
ORD,PIT,1921,737
TYS,DEN,286,102
DTW,TUL,225,98
OAK,LGB,1002,288
CVG,IAH,1097,545
IAD,HNL,168,75
ORF,MDW,540,179
DFW,CLE,1568,519
DFW,SNA,2877,1009
FLL,PVD,787,253
ATL,MCO,8202,3129
MSP,ATL,4714,1296
RDU,LGA,1878,806
GRK,DFW,2626,797
CWA,ORD,1394,410
ATL,DEN,4987,1720
ORF,CLT,603,170
LAS,SFO,7870,3134
LAX,ATL,5673,2117
ABQ,MDW,661,223
RDU,DEN,901,307
LAX,KOA,1385,495
IAH,DEN,4513,2037
DFW,SAT,4714,1622
SEA,SMF,3438,1559
SFO,PDX,4197,1429
SJC,PDX,2249,666
JFK,SEA,2094,832
MCI,MSP,1904,686
JFK,DTW,283,115
SAN,MSP,1068,240
CLE,ORD,4127,1347
EVV,ORD,1737,645
DTW,ORD,4274,1649
JFK,DCA,1002,408
DAY,LGA,403,149
ORD,MSP,6361,3045
SFO,PSP,2140,860
IAH,LAX,4432,2441
IAH,MFE,1957,769
SAN,LAX,4619,1866
PDX,CLT,256,80
SAT,DEN,1711,525
SEA,SJC,4029,1669
SEA,OGG,1240,502
DFW,PDX,1832,636
TYS,IAH,774,290
MSP,CVG,458,217
IAH,LFT,2153,750
JAN,IAH,1953,624
ATL,AGS,2361,880
LAS,MSP,2543,794
IAH,ABQ,796,330
IAH,ELP,1544,665
RDU,TTN,278,101
MYR,LGA,668,325
SHV,DEN,314,139
LAS,SLC,3740,1420
MCO,IAD,1658,759
SEA,LAX,7765,3243
LIT,DEN,607,227
MSP,ISN,1063,270
MSP,CLE,688,271
LAX,COS,647,296
IAH,SAT,2312,1078
JFK,RSW,1230,446
MSN,MSP,1277,376
CLT,MSY,1520,570
BUR,OAK,3759,1252
DEN,MDW,2715,947
