origin,destination,count,1,2,3,4,5,6,7,8,9,10,11,12
HSV,DFW,279,1,0,10,10,10,10,2,10,0,10,10,0
SLC,PHL,616,0,1,1,10,10,0,10,0,0,10,10,10
DFW,DTW,2648,1,1,1,1,1,0,0,0,10,10,0,1
DFW,IAH,4006,1,1,1,1,1,1,0,0,10,10,1,1
DFW,ONT,1441,1,1,1,10,1,10,10,10,0,10,1,1
DFW,GJT,852,0,1,1,10,1,10,10,10,10,10,10,1
DFW,ABI,2327,1,1,1,1,1,1,0,10,10,10,1,1
DFW,ABQ,1796,1,1,1,1,1,1,10,10,10,10,0,1
TPA,DFW,2500,0,1,1,10,1,2,0,0,10,10,0,1
MKE,DFW,1010,0,1,1,10,1,10,10,10,10,10,1,1
BHM,DFW,614,1,1,1,0,0,10,0,0,10,10,10,1
DEN,ICT,840,2,10,1,10,10,0,10,10,10,10,1,1
DFW,TUS,2198,0,1,1,1,1,0,10,0,10,10,10,1
DFW,MSP,2574,0,1,0,10,1,0,0,1,0,10,1,1
MIA,ORD,4156,0,1,1,0,0,1,0,0,0,10,1,1
DFW,DRO,798,1,1,10,10,1,1,10,10,10,10,1,1
DEN,LIT,625,2,1,2,10,10,10,10,10,10,10,1,1
DFW,BOS,3070,1,1,1,0,1,0,0,10,10,10,1,1
IAH,HOB,571,1,1,1,1,1,2,1,2,2,10,1,1
DFW,HSV,280,1,0,10,10,10,10,10,10,0,10,10,1
TYR,DFW,1612,0,1,1,0,1,0,0,0,10,10,0,0
MLU,DFW,959,0,0,0,0,0,0,10,10,10,10,0,0
DFW,BNA,2751,0,1,1,1,1,1,10,0,10,10,1,1
DFW,BRO,1061,0,0,0,0,0,0,0,0,10,10,0,0
DFW,MCO,3826,0,1,1,0,1,0,10,0,10,10,1,1
DFW,CLT,4044,0,1,1,0,1,1,0,0,10,10,1,1
DEN,GCC,634,2,1,10,1,10,10,10,10,10,10,1,1
DEN,SJC,2122,2,1,10,0,0,2,0,10,0,10,0,1
DEN,SAF,299,1,2,10,10,1,0,2,10,10,10,10,10
DFW,EWR,2501,1,1,1,1,1,0,0,2,2,10,1,1
IAH,BRO,1303,1,2,1,1,1,1,2,2,10,10,0,1
DFW,BWI,1774,0,1,1,10,1,10,10,0,0,10,10,1
ORD,BWI,2468,1,1,1,10,0,0,2,0,1,10,1,1
DFW,CLE,1568,0,1,1,10,1,1,0,10,10,10,1,1
DFW,SDF,298,1,1,1,10,1,10,10,10,10,10,10,1
ORD,EGE,109,0,1,1,0,10,10,10,10,10,10,10,1
DFW,FAR,367,1,1,1,10,1,10,0,10,10,10,10,1
DFW,MSY,2633,0,1,1,1,1,0,10,10,10,10,10,1
DFW,MEM,864,0,1,1,0,1,1,10,10,10,10,10,1
GUC,DFW,129,1,1,1,10,10,10,10,10,10,10,10,1
DFW,IAD,1303,1,1,1,1,1,0,10,1,10,10,1,1
SLC,PHX,5479,0,1,0,0,0,0,0,0,0,10,0,2
ABQ,DFW,1797,1,1,1,0,1,1,10,10,10,10,0,1
AUS,LAX,2597,1,0,1,10,0,0,0,0,0,10,2,0
DFW,GRI,634,1,1,1,1,1,1,10,10,10,10,10,1
DRO,DFW,798,1,1,10,10,1,1,10,10,10,10,1,1
TPA,DTW,2134,1,0,0,10,1,10,10,10,10,10,10,0
DEN,BOS,2407,1,1,1,10,2,0,0,10,10,10,1,1
DFW,COU,660,0,1,1,1,1,0,10,10,10,10,10,1
CHA,DFW,640,0,1,1,0,1,0,10,0,10,10,10,0
BRO,DFW,1059,0,0,0,0,0,0,0,0,10,10,0,0
SAF,DEN,300,1,1,10,2,10,0,2,10,10,10,10,10
HRL,IAH,1199,1,10,1,1,1,2,10,1,10,10,10,1
SJC,DEN,2102,0,10,0,0,0,2,0,10,0,10,0,1
BRO,IAH,1303,1,2,2,1,1,1,2,1,2,10,0,1
ORD,CID,2843,2,1,1,1,1,2,2,1,1,10,2,1
ICT,DEN,889,2,0,1,1,10,1,0,0,10,10,10,1
DFW,SPI,589,1,1,1,1,1,0,0,10,10,10,0,0
DFW,OMA,1362,0,1,1,10,1,10,10,10,10,10,10,1
PHL,ORD,4759,1,1,1,1,0,0,0,0,0,10,1,1
EGE,ORD,109,0,1,1,0,10,10,10,10,10,10,10,1
STL,IAH,594,2,10,10,10,2,1,2,2,10,10,1,1
LIT,DEN,607,2,1,2,10,1,10,10,0,0,10,10,0
STL,PHX,2128,0,0,0,0,10,0,0,10,10,10,10,10
MKE,ORD,4826,1,1,1,1,0,1,0,1,1,10,1,1
ORD,DFW,7677,0,1,1,1,1,1,0,0,2,10,1,1
BWI,JFK,333,1,1,2,2,2,2,10,2,0,10,2,1
CID,ORD,2704,2,1,1,2,0,2,2,2,1,10,2,1
CLT,DFW,4046,0,1,1,0,1,1,0,0,10,10,1,1
